Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,68.160004,70.500000,66.809998,69.050003,69.050003,975700
2020-07-30,67.809998,68.540001,65.000000,65.099998,65.099998,852700
2020-07-31,67.150002,67.470001,57.520000,58.180000,58.180000,1884700
2020-08-03,59.709999,61.180000,56.700001,56.860001,56.860001,1610700
2020-08-04,57.000000,62.389999,57.000000,61.139999,61.139999,1495700
2020-08-05,61.770000,64.949997,59.270000,64.480003,64.480003,1129700
2020-08-06,65.680000,69.879997,64.599998,68.699997,68.699997,1154200
2020-08-07,68.570000,69.024002,65.570000,66.839996,66.839996,657000
2020-08-10,67.910004,68.760002,63.590000,67.410004,67.410004,890900
2020-08-11,67.410004,67.540001,62.750000,62.750000,62.750000,992500
2020-08-12,58.000000,63.500000,57.099998,60.669998,60.669998,1888700
2020-08-13,60.549999,62.470001,58.250000,59.259998,59.259998,1007400
2020-08-14,59.470001,63.820000,59.470001,63.220001,63.220001,1062800
2020-08-17,63.000000,63.279999,60.270000,61.480000,61.480000,695900
2020-08-18,61.400002,62.880001,60.500000,61.790001,61.790001,484000
2020-08-19,62.000000,62.330002,60.799999,61.700001,61.700001,357600
2020-08-20,61.060001,61.700001,59.660000,59.860001,59.860001,519700
2020-08-21,60.000000,60.650002,59.520000,60.200001,60.200001,423900
2020-08-24,60.650002,66.360001,60.650002,66.000000,66.000000,1713100
2020-08-25,65.720001,66.000000,60.180000,61.009998,61.009998,1644500
2020-08-26,61.450001,62.980000,60.209999,61.130001,61.130001,1165800
2020-08-27,62.200001,62.660000,58.189999,58.389999,58.389999,1294400
2020-08-28,59.400002,61.689999,57.880001,58.180000,58.180000,1181300
2020-08-31,58.250000,59.200001,57.290001,58.700001,58.700001,866400
2020-09-01,59.070000,59.209999,55.500000,56.189999,56.189999,1305500
2020-09-02,56.389999,57.250000,52.724998,54.700001,54.700001,1905800
2020-09-03,54.200001,54.200001,50.000000,50.830002,50.830002,1656200
2020-09-04,50.730000,51.959999,44.110001,47.270000,47.270000,2906900
2020-09-08,46.380001,49.340000,44.904999,47.180000,47.180000,1112500
2020-09-09,48.490002,51.290001,48.250000,50.180000,50.180000,1095600
2020-09-10,51.500000,54.750000,50.900002,52.400002,52.400002,963000
2020-09-11,52.689999,52.865002,49.900002,50.119999,50.119999,704000
2020-09-14,50.900002,51.255001,47.395000,48.709999,48.709999,1125000
2020-09-15,49.500000,49.669998,46.744999,47.150002,47.150002,890600
2020-09-16,47.310001,49.490002,47.250000,48.650002,48.650002,919500
2020-09-17,47.200001,52.070000,47.189999,51.880001,51.880001,1174900
2020-09-18,51.910000,56.410000,51.200001,55.240002,55.240002,2947900
2020-09-21,53.310001,54.500000,50.360001,52.930000,52.930000,1410000
2020-09-22,52.430000,54.299999,50.700001,54.070000,54.070000,588600
2020-09-23,54.299999,56.990002,49.549999,49.869999,49.869999,997200
2020-09-24,48.799999,50.810001,47.310001,47.980000,47.980000,841400
2020-09-25,48.000000,51.029999,48.000000,50.930000,50.930000,482500
2020-09-28,52.000000,52.299999,50.200001,51.250000,51.250000,418400
2020-09-29,50.500000,50.939999,48.560001,49.610001,49.610001,742100
2020-09-30,49.299999,51.529999,49.299999,49.720001,49.720001,614500
2020-10-01,50.259998,52.230000,48.400002,51.459999,51.459999,904800
2020-10-02,49.500000,53.410000,49.240002,51.580002,51.580002,1098100
2020-10-05,53.020000,54.750000,52.759998,54.000000,54.000000,590800
2020-10-06,54.759998,55.389999,51.700001,52.439999,52.439999,552900
2020-10-07,53.130001,54.900002,53.130001,53.599998,53.599998,423300
2020-10-08,54.700001,60.119999,54.509998,60.099998,60.099998,1547300
2020-10-09,60.110001,68.190002,58.549999,67.809998,67.809998,2353900
2020-10-12,67.809998,68.989998,63.009998,66.169998,66.169998,1408100
2020-10-13,65.019997,68.739998,64.000000,66.730003,66.730003,756400
2020-10-14,67.000000,72.550003,65.669998,68.000000,68.000000,1498500
2020-10-15,64.019997,65.620003,61.240002,62.410000,62.410000,1847200
2020-10-16,63.310001,63.639999,58.720001,58.990002,58.990002,1118900
2020-10-19,59.340000,60.959999,58.509998,58.950001,58.950001,636700
2020-10-20,59.930000,60.735001,58.500000,58.580002,58.580002,484900
2020-10-21,59.060001,59.590000,56.759998,57.980000,57.980000,604100
2020-10-22,57.930000,58.639999,52.321999,52.529999,52.529999,1420100
2020-10-23,53.770000,53.869999,50.000000,51.090000,51.090000,1417600
2020-10-26,50.549999,52.279999,48.939999,51.189999,51.189999,1125500
2020-10-27,51.639999,51.889999,49.799999,50.730000,50.730000,448100
2020-10-28,48.900002,50.200001,48.000000,49.130001,49.130001,893300
